hemisferio;latitud;ra;mes
N;70;0;enero
N;68;0;enero
N;66;0.2;enero
N;64;0.6;enero
N;62;0.9;enero
N;60;1.3;enero
N;58;1.8;enero
N;56;2.2;enero
N;54;2.7;enero
N;52;3.1;enero
N;50;3.6;enero
N;48;4.1;enero
N;46;46.1;enero
N;44;5.1;enero
N;42;5.6;enero
N;40;6.1;enero
N;38;6.6;enero
N;36;7.1;enero
N;34;7.6;enero
N;32;8.1;enero
N;30;8.6;enero
N;28;9.1;enero
N;26;9.6;enero
N;24;10;enero
N;22;10.5;enero
N;20;10.9;enero
N;18;11.4;enero
N;16;11.8;enero
N;14;12.2;enero
N;12;12.6;enero
N;10;13;enero
N;8;13.4;enero
N;6;13.8;enero
N;4;14.1;enero
N;2;14.4;enero
N;0;14.8;enero
S;70;16.9;enero
S;68;16.7;enero
S;66;16.7;enero
S;64;16.7;enero
S;62;16.8;enero
S;60;16.9;enero
S;58;17;enero
S;56;17.1;enero
S;54;17.2;enero
S;52;17.3;enero
S;50;17.4;enero
S;48;17.5;enero
S;46;17.6;enero
S;44;17.6;enero
S;42;17.7;enero
S;40;17.7;enero
S;38;17.7;enero
S;36;17.7;enero
S;34;17.7;enero
S;32;17.7;enero
S;30;17.6;enero
S;28;17.6;enero
S;26;17.5;enero
S;24;17.3;enero
S;22;17.2;enero
S;20;17.1;enero
S;18;16.9;enero
S;16;16.8;enero
S;14;16.6;enero
S;12;16.4;enero
S;10;16.1;enero
S;8;15.9;enero
S;6;15.6;enero
S;4;15.3;enero
S;2;15.1;enero
S;0;14.8;enero
N;70;1.1;febrero
N;68;1.5;febrero
N;66;2;febrero
N;64;2.4;febrero
N;62;2.9;febrero
N;60;3.4;febrero
N;58;3.9;febrero
N;56;4.4;febrero
N;54;4.9;febrero
N;52;5.4;febrero
N;50;5.9;febrero
N;48;6.4;febrero
N;46;6.9;febrero
N;44;7.3;febrero
N;42;7.8;febrero
N;40;8.3;febrero
N;38;8.8;febrero
N;36;9.2;febrero
N;34;9.7;febrero
N;32;10.1;febrero
N;30;10.5;febrero
N;28;10.9;febrero
N;26;11.3;febrero
N;24;11.8;febrero
N;22;12.1;febrero
N;20;12.5;febrero
N;18;12.9;febrero
N;16;13.2;febrero
N;14;13.5;febrero
N;12;13.8;febrero
N;10;14.1;febrero
N;8;14.4;febrero
N;6;14.6;febrero
N;4;14.9;febrero
N;2;15.1;febrero
N;0;15.3;febrero
S;70;11.7;febrero
S;68;12;febrero
S;66;12.2;febrero
S;64;12.6;febrero
S;62;12.9;febrero
S;60;13.2;febrero
S;58;13.5;febrero
S;56;13.8;febrero
S;54;14;febrero
S;52;14.3;febrero
S;50;14.5;febrero
S;48;14.8;febrero
S;46;15;febrero
S;44;15.2;febrero
S;42;15.4;febrero
S;40;15.6;febrero
S;38;15.7;febrero
S;36;15.9;febrero
S;34;16;febrero
S;32;16.1;febrero
S;30;16.2;febrero
S;28;16.2;febrero
S;26;16.3;febrero
S;24;16.3;febrero
S;22;16.4;febrero
S;20;16.3;febrero
S;18;16.3;febrero
S;16;16.3;febrero
S;14;16.2;febrero
S;12;16.2;febrero
S;10;16;febrero
S;8;15.9;febrero
S;6;15.8;febrero
S;4;15.6;febrero
S;2;15.5;febrero
S;0;15.3;febrero
N;70;4.2;marzo
N;68;4.8;marzo
N;66;5.3;marzo
N;64;5.8;marzo
N;62;6.3;marzo
N;60;6.8;marzo
N;58;7.2;marzo
N;56;7.7;marzo
N;54;8.2;marzo
N;52;8.6;marzo
N;50;9.1;marzo
N;48;9.5;marzo
N;46;9.9;marzo
N;44;10.3;marzo
N;42;10.7;marzo
N;40;11.1;marzo
N;38;11.5;marzo
N;36;11.8;marzo
N;34;12.2;marzo
N;32;12.5;marzo
N;30;12.8;marzo
N;28;13.1;marzo
N;26;13.4;marzo
N;24;13.7;marzo
N;22;13.9;marzo
N;20;14.2;marzo
N;18;14.4;marzo
N;16;14.6;marzo
N;14;14.7;marzo
N;12;14.9;marzo
N;10;15.1;marzo
N;8;15.2;marzo
N;6;15.3;marzo
N;4;15.3;marzo
N;2;15.4;marzo
N;0;15.5;marzo
S;70;6.4;marzo
S;68;6.9;marzo
S;66;7.4;marzo
S;64;7.9;marzo
S;62;8.3;marzo
S;60;8.8;marzo
S;58;9.2;marzo
S;56;9.6;marzo
S;54;10;marzo
S;52;10.4;marzo
S;50;10.9;marzo
S;48;11.2;marzo
S;46;11.6;marzo
S;44;12;marzo
S;42;12.3;marzo
S;40;12.6;marzo
S;38;12.9;marzo
S;36;13.2;marzo
S;34;13.5;marzo
S;32;13.8;marzo
S;30;14;marzo
S;28;14.2;marzo
S;26;14.4;marzo
S;24;14.6;marzo
S;22;14.8;marzo
S;20;14.9;marzo
S;18;15.1;marzo
S;16;15.2;marzo
S;14;15.3;marzo
S;12;15.4;marzo
S;10;15.4;marzo
S;8;15.5;marzo
S;6;15.5;marzo
S;4;15.5;marzo
S;2;15.5;marzo
S;0;15.5;marzo
N;70;9.4;abril
N;68;9.8;abril
N;66;10.1;abril
N;64;10.5;abril
N;62;10.9;abril
N;60;11.2;abril
N;58;11.6;abril
N;56;11.9;abril
N;54;12.2;abril
N;52;12.6;abril
N;50;12.9;abril
N;48;13.1;abril
N;46;13.4;abril
N;44;13.7;abril
N;42;13.9;abril
N;40;14.2;abril
N;38;14.4;abril
N;36;14.6;abril
N;34;14.7;abril
N;32;14.5;abril
N;30;15;abril
N;28;15.1;abril
N;26;15.3;abril
N;24;15.3;abril
N;22;15.4;abril
N;20;15.5;abril
N;18;15.5;abril
N;16;15.6;abril
N;14;15.6;abril
N;12;15.5;abril
N;10;15.5;abril
N;8;15.4;abril
N;6;15.3;abril
N;4;15.3;abril
N;2;15.1;abril
N;0;15;abril
S;70;2;abril
S;68;2.4;abril
S;66;2.9;abril
S;64;3.4;abril
S;62;3.9;abril
S;60;4.4;abril
S;58;4.9;abril
S;56;5.4;abril
S;54;5.9;abril
S;52;6.4;abril
S;50;6.8;abril
S;48;7.3;abril
S;46;7.8;abril
S;44;8.2;abril
S;42;8.7;abril
S;40;9.1;abril
S;38;9.5;abril
S;36;9.9;abril
S;34;10.3;abril
S;32;10.7;abril
S;30;11.1;abril
S;28;11.5;abril
S;26;11.8;abril
S;24;12.2;abril
S;22;12.5;abril
S;20;12.8;abril
S;18;13.1;abril
S;16;13.4;abril
S;14;13.6;abril
S;12;13.9;abril
S;10;14.1;abril
S;8;14.3;abril
S;6;14.5;abril
S;4;14.7;abril
S;2;14.9;abril
S;0;15;abril
N;70;14.4;mayo
N;68;14.4;mayo
N;66;14.5;mayo
N;64;14.7;mayo
N;62;14.8;mayo
N;60;14.9;mayo
N;58;15.1;mayo
N;56;15.3;mayo
N;54;15.4;mayo
N;52;15.6;mayo
N;50;15.7;mayo
N;48;13.8;mayo
N;46;16;mayo
N;44;16;mayo
N;42;16.1;mayo
N;40;16.2;mayo
N;38;16.3;mayo
N;36;16.3;mayo
N;34;16.3;mayo
N;32;16.3;mayo
N;30;16.3;mayo
N;28;16.3;mayo
N;26;16.3;mayo
N;24;16.2;mayo
N;22;16.1;mayo
N;20;16;mayo
N;18;15.9;mayo
N;16;15.8;mayo
N;14;15.7;mayo
N;12;15.5;mayo
N;10;15.3;mayo
N;8;15.1;mayo
N;6;14.9;mayo
N;4;14.7;mayo
N;2;14.4;mayo
N;0;14.2;mayo
S;70;0.1;mayo
S;68;0.3;mayo
S;66;0.6;mayo
S;64;1;mayo
S;62;1.4;mayo
S;60;1.8;mayo
S;58;2.2;mayo
S;56;2.7;mayo
S;54;3.1;mayo
S;52;3.6;mayo
S;50;4.1;mayo
S;48;4.5;mayo
S;46;5;mayo
S;44;5.5;mayo
S;42;6;mayo
S;40;6.4;mayo
S;38;6.9;mayo
S;36;7.4;mayo
S;34;7.8;mayo
S;32;8.3;mayo
S;30;8.7;mayo
S;28;9.2;mayo
S;26;9.6;mayo
S;24;10;mayo
S;22;10.4;mayo
S;20;10.9;mayo
S;18;11.2;mayo
S;16;11.6;mayo
S;14;12;mayo
S;12;12.3;mayo
S;10;12.7;mayo
S;8;13;mayo
S;6;13.3;mayo
S;4;13.6;mayo
S;2;13.9;mayo
S;0;14.2;mayo
N;70;17.3;junio
N;68;17.1;junio
N;66;16.9;junio
N;64;16.8;junio
N;62;16.8;junio
N;60;16.8;junio
N;58;16.9;junio
N;56;16.9;junio
N;54;16.9;junio
N;52;17;junio
N;50;17;junio
N;48;17.1;junio
N;46;17.1;junio
N;44;17.1;junio
N;42;17.1;junio
N;40;17.1;junio
N;38;17.1;junio
N;36;17;junio
N;34;17;junio
N;32;16.9;junio
N;30;16.8;junio
N;28;16.7;junio
N;26;16.6;junio
N;24;16.4;junio
N;22;16.3;junio
N;20;16.1;junio
N;18;16;junio
N;16;15.8;junio
N;14;15.6;junio
N;12;15.3;junio
N;10;15.1;junio
N;8;14.8;junio
N;6;14.6;junio
N;4;14.3;junio
N;2;14;junio
N;0;13.6;junio
S;70;0;junio
S;68;0;junio
S;66;0;junio
S;64;0.2;junio
S;62;0.5;junio
S;60;0.8;junio
S;58;1.2;junio
S;56;1.6;junio
S;54;2;junio
S;52;2.4;junio
S;50;2.9;junio
S;48;3.3;junio
S;46;3.8;junio
S;44;4.3;junio
S;42;4.7;junio
S;40;5.2;junio
S;38;5.7;junio
S;36;6.2;junio
S;34;6.6;junio
S;32;7.1;junio
S;30;7.6;junio
S;28;8;junio
S;26;8.5;junio
S;24;8.9;junio
S;22;9.4;junio
S;20;9.8;junio
S;18;10.2;junio
S;16;10.7;junio
S;14;11.1;junio
S;12;11.5;junio
S;10;11.9;junio
S;8;12.2;junio
S;6;12.6;junio
S;4;13;junio
S;2;13.3;junio
S;0;13.6;junio
N;70;16.1;julio
N;68;15.9;julio
N;66;15.8;julio
N;64;15.8;julio
N;62;15.9;julio
N;60;16;julio
N;58;16.1;julio
N;56;16.2;julio
N;54;16.2;julio
N;52;16.4;julio
N;50;16.4;julio
N;48;16.5;julio
N;46;16.6;julio
N;44;16.6;julio
N;42;16.7;julio
N;40;16.7;julio
N;38;16.7;julio
N;36;16.7;julio
N;34;16.7;julio
N;32;16.6;julio
N;30;16.6;julio
N;28;16.5;julio
N;26;16.4;julio
N;24;16.3;julio
N;22;16.2;julio
N;20;16;julio
N;18;15.9;julio
N;16;15.7;julio
N;14;15.6;julio
N;12;15.3;julio
N;10;15.1;julio
N;8;14.9;julio
N;6;14.7;julio
N;4;14.4;julio
N;2;14.1;julio
N;0;13.8;julio
S;70;0;julio
S;68;0;julio
S;66;0.2;julio
S;64;0.5;julio
S;62;0.8;julio
S;60;1.2;julio
S;58;1.6;julio
S;56;2;julio
S;54;2.4;julio
S;52;2.9;julio
S;50;3.3;julio
S;48;3.8;julio
S;46;4.2;julio
S;44;4.7;julio
S;42;5.2;julio
S;40;5.7;julio
S;38;6.2;julio
S;36;6.6;julio
S;34;7.1;julio
S;32;7.6;julio
S;30;8;julio
S;28;8.4;julio
S;26;8.9;julio
S;24;9.3;julio
S;22;9.8;julio
S;20;10.2;julio
S;18;10.6;julio
S;16;11;julio
S;14;11.4;julio
S;12;11.8;julio
S;10;12.2;julio
S;8;12.5;julio
S;6;12.9;julio
S;4;13.2;julio
S;2;13.5;julio
S;0;13.8;julio
N;70;11.4;agosto
N;68;11.7;agosto
N;66;12;agosto
N;64;12.2;agosto
N;62;12.5;agosto
N;60;12.8;agosto
N;58;13.1;agosto
N;56;13.3;agosto
N;54;13.6;agosto
N;52;13.8;agosto
N;50;14;agosto
N;48;14.2;agosto
N;46;14.4;agosto
N;44;14.7;agosto
N;42;14.8;agosto
N;40;15;agosto
N;38;15.1;agosto
N;36;15.3;agosto
N;34;15.3;agosto
N;32;15.5;agosto
N;30;15.5;agosto
N;28;15.6;agosto
N;26;15.6;agosto
N;24;15.6;agosto
N;22;15.7;agosto
N;20;15.6;agosto
N;18;15.6;agosto
N;16;15.6;agosto
N;14;15.5;agosto
N;12;15.4;agosto
N;10;15.3;agosto
N;8;15.2;agosto
N;6;15.1;agosto
N;4;14.9;agosto
N;2;14.7;agosto
N;0;14.6;agosto
S;70;0.9;agosto
S;68;1.3;agosto
S;66;1.7;agosto
S;64;2.2;agosto
S;62;2.6;agosto
S;60;3.1;agosto
S;58;3.6;agosto
S;56;4;agosto
S;54;4.5;agosto
S;52;5;agosto
S;50;5.5;agosto
S;48;6;agosto
S;46;6.4;agosto
S;44;6.9;agosto
S;42;7.3;agosto
S;40;7.8;agosto
S;38;8.2;agosto
S;36;8.7;agosto
S;34;9.1;agosto
S;32;9.5;agosto
S;30;9.9;agosto
S;28;10.3;agosto
S;26;10.7;agosto
S;24;11.1;agosto
S;22;11.5;agosto
S;20;11.8;agosto
S;18;12.2;agosto
S;16;12.5;agosto
S;14;12.8;agosto
S;12;13.1;agosto
S;10;13.4;agosto
S;8;13.6;agosto
S;6;13.9;agosto
S;4;14.1;agosto
S;2;14.4;agosto
S;0;14.6;agosto
N;70;6.1;septiembre
N;68;6.6;septiembre
N;66;7.1;septiembre
N;64;7.5;septiembre
N;62;8;septiembre
N;60;8.4;septiembre
N;58;8.9;septiembre
N;56;9.3;septiembre
N;54;9.7;septiembre
N;52;10.1;septiembre
N;50;10.5;septiembre
N;48;10.9;septiembre
N;46;11.2;septiembre
N;44;11.6;septiembre
N;42;11.9;septiembre
N;40;12.2;septiembre
N;38;12.5;septiembre
N;36;12.9;septiembre
N;34;13.1;septiembre
N;32;13.4;septiembre
N;30;13.6;septiembre
N;28;13.8;septiembre
N;26;14.1;septiembre
N;24;14.2;septiembre
N;22;14.4;septiembre
N;20;14.6;septiembre
N;18;14.7;septiembre
N;16;14.9;septiembre
N;14;15;septiembre
N;12;15.1;septiembre
N;10;15.1;septiembre
N;8;15.2;septiembre
N;6;15.2;septiembre
N;4;15.2;septiembre
N;2;15.2;septiembre
N;0;15.2;septiembre
S;70;4.4;septiembre
S;68;4.9;septiembre
S;66;5.3;septiembre
S;64;5.9;septiembre
S;62;6.3;septiembre
S;60;6.8;septiembre
S;58;7.3;septiembre
S;56;7.8;septiembre
S;54;8.2;septiembre
S;52;8.7;septiembre
S;50;9.1;septiembre
S;48;9.5;septiembre
S;46;9.9;septiembre
S;44;10.3;septiembre
S;42;10.7;septiembre
S;40;11.1;septiembre
S;38;11.4;septiembre
S;36;11.8;septiembre
S;34;12.1;septiembre
S;32;12.4;septiembre
S;30;12.7;septiembre
S;28;13;septiembre
S;26;13.3;septiembre
S;24;13.5;septiembre
S;22;13.8;septiembre
S;20;14;septiembre
S;18;14.2;septiembre
S;16;14.4;septiembre
S;14;14.5;septiembre
S;12;14.7;septiembre
S;10;14.8;septiembre
S;8;14.9;septiembre
S;6;15;septiembre
S;4;15.1;septiembre
S;2;15.1;septiembre
S;0;15.2;septiembre
N;70;2;octubre
N;68;2.4;octubre
N;66;2.9;octubre
N;64;3.5;octubre
N;62;4;octubre
N;60;4.4;octubre
N;58;4.9;octubre
N;56;5.4;octubre
N;54;5.9;octubre
N;52;6.4;octubre
N;50;6.9;octubre
N;48;7.4;octubre
N;46;7.8;octubre
N;44;8.3;octubre
N;42;8.7;octubre
N;40;9.2;octubre
N;38;9.6;octubre
N;36;10;octubre
N;34;10.4;octubre
N;32;10.9;octubre
N;30;11.3;octubre
N;28;11.6;octubre
N;26;12;octubre
N;24;12.3;octubre
N;22;12.7;octubre
N;20;13;octubre
N;18;13.3;octubre
N;16;13.6;octubre
N;14;13.8;octubre
N;12;14.1;octubre
N;10;14.3;octubre
N;8;14.5;octubre
N;6;14.7;octubre
N;4;14.9;octubre
N;2;15.1;octubre
N;0;15.3;octubre
S;70;9.6;octubre
S;68;10;octubre
S;66;10.4;octubre
S;64;10.7;octubre
S;62;11.1;octubre
S;60;11.5;octubre
S;58;11.8;octubre
S;56;12.2;octubre
S;54;12.5;octubre
S;52;12.8;octubre
S;50;13.1;octubre
S;48;13.4;octubre
S;46;13.7;octubre
S;44;13.9;octubre
S;42;14.2;octubre
S;40;14.4;octubre
S;38;14.6;octubre
S;36;14.8;octubre
S;34;15;octubre
S;32;15.1;octubre
S;30;15.3;octubre
S;28;15.4;octubre
S;26;15.5;octubre
S;24;15.6;octubre
S;22;15.7;octubre
S;20;15.8;octubre
S;18;15.8;octubre
S;16;15.8;octubre
S;14;15.8;octubre
S;12;15.8;octubre
S;10;15.7;octubre
S;8;15.7;octubre
S;6;15.6;octubre
S;4;15.5;octubre
S;2;15.4;octubre
S;0;15.3;octubre
N;70;0;noviembre
N;68;0.3;noviembre
N;66;0.6;noviembre
N;64;1;noviembre
N;62;1.4;noviembre
N;60;1.8;noviembre
N;58;2.2;noviembre
N;56;2.7;noviembre
N;54;3.2;noviembre
N;52;3.7;noviembre
N;50;4.2;noviembre
N;48;4.7;noviembre
N;46;5.1;noviembre
N;44;5.7;noviembre
N;42;6.2;noviembre
N;40;6.7;noviembre
N;38;7.1;noviembre
N;36;7.6;noviembre
N;34;8.1;noviembre
N;32;8.6;noviembre
N;30;9.1;noviembre
N;28;9.5;noviembre
N;26;10;noviembre
N;24;10.4;noviembre
N;22;10.9;noviembre
N;20;11.3;noviembre
N;18;11.7;noviembre
N;16;12.1;noviembre
N;14;12.5;noviembre
N;12;12.9;noviembre
N;10;13.2;noviembre
N;8;13.6;noviembre
N;6;13.9;noviembre
N;4;14.2;noviembre
N;2;14.5;noviembre
N;0;14.8;noviembre
S;70;15.2;noviembre
S;68;15.3;noviembre
S;66;15.3;noviembre
S;64;15.5;noviembre
S;62;15.6;noviembre
S;60;15.8;noviembre
S;58;16;noviembre
S;56;16.1;noviembre
S;54;16.3;noviembre
S;52;16.4;noviembre
S;50;16.6;noviembre
S;48;16.7;noviembre
S;46;16.8;noviembre
S;44;16.9;noviembre
S;42;17;noviembre
S;40;17.1;noviembre
S;38;17.1;noviembre
S;36;17.1;noviembre
S;34;17.1;noviembre
S;32;17.1;noviembre
S;30;17.1;noviembre
S;28;17.1;noviembre
S;26;17.1;noviembre
S;24;17;noviembre
S;22;16.9;noviembre
S;20;16.8;noviembre
S;18;16.7;noviembre
S;16;16.6;noviembre
S;14;16.4;noviembre
S;12;16.2;noviembre
S;10;16;noviembre
S;8;15.8;noviembre
S;6;15.6;noviembre
S;4;15.3;noviembre
S;2;15.1;noviembre
S;0;14.8;noviembre
N;70;0;diciembre
N;68;0;diciembre
N;66;0;diciembre
N;64;0.2;diciembre
N;62;0.5;diciembre
N;60;0.9;diciembre
N;58;1.3;diciembre
N;56;1.7;diciembre
N;54;2.1;diciembre
N;52;2.6;diciembre
N;50;3.1;diciembre
N;48;3.6;diciembre
N;46;4;diciembre
N;44;4.5;diciembre
N;42;5.1;diciembre
N;40;5.6;diciembre
N;38;6;diciembre
N;36;6.6;diciembre
N;34;7.1;diciembre
N;32;7.6;diciembre
N;30;8.1;diciembre
N;28;8.6;diciembre
N;26;9.1;diciembre
N;24;9.5;diciembre
N;22;10;diciembre
N;20;10.4;diciembre
N;18;10.9;diciembre
N;16;11.4;diciembre
N;14;11.8;diciembre
N;12;12.2;diciembre
N;10;12.7;diciembre
N;8;13.1;diciembre
N;6;13.4;diciembre
N;4;13.8;diciembre
N;2;14.2;diciembre
N;0;14.5;diciembre
S;70;18.5;diciembre
S;68;18.2;diciembre
S;66;18;diciembre
S;64;17.9;diciembre
S;62;17.9;diciembre
S;60;17.9;diciembre
S;58;18;diciembre
S;56;18;diciembre
S;54;18.1;diciembre
S;52;18.1;diciembre
S;50;18.2;diciembre
S;48;18.2;diciembre
S;46;18.2;diciembre
S;44;18.2;diciembre
S;42;18.2;diciembre
S;40;18.2;diciembre
S;38;18.2;diciembre
S;36;18.1;diciembre
S;34;18.1;diciembre
S;32;18;diciembre
S;30;17.9;diciembre
S;28;17.8;diciembre
S;26;17.7;diciembre
S;24;17.6;diciembre
S;22;17.4;diciembre
S;20;17.2;diciembre
S;18;17;diciembre
S;16;16.8;diciembre
S;14;16.6;diciembre
S;12;16.3;diciembre
S;10;16.1;diciembre
S;8;15.8;diciembre
S;6;15.5;diciembre
S;4;15.2;diciembre
S;2;14.9;diciembre
S;0;14.5;diciembre
